airline,flight_id,dom_int,schedule_time,arr_dep,airport
KL,KL1148,S,2023-12-21T16:00:00Z,D,AMS
SK,SK221,D,2023-12-21T16:05:00Z,D,KRS
DY,DY540,D,2023-12-21T16:05:00Z,D,SVG
DY,DY328,D,2023-12-21T16:10:00Z,D,ALF
SK,SK1465,S,2023-12-21T16:10:00Z,D,CPH
PC,PC7349,I,2023-12-21T16:15:00Z,D,SAW
DY,DY8418,D,2023-12-21T16:15:00Z,D,EVE
SK,SK4043,D,2023-12-21T16:15:00Z,D,SVG
DY,DY430,D,2023-12-21T16:15:00Z,D,MOL
AF,AF1775,S,2023-12-21T16:20:00Z,D,CDG
AY,AY916,S,2023-12-21T16:20:00Z,D,HEL
DY,DY1258,S,2023-12-21T16:20:00Z,D,AMS
DY,DY948,S,2023-12-21T16:25:00Z,D,CPH
DY,DY350,D,2023-12-21T16:30:00Z,D,BOO
DY,DY1362,I,2023-12-21T16:30:00Z,D,DUB
WF,WF155,D,2023-12-21T16:30:00Z,D,BGO
DX,DX546,D,2023-12-21T16:40:00Z,D,SRP
DY,DY626,D,2023-12-21T16:40:00Z,D,BGO
SK,SK1921,S,2023-12-21T16:40:00Z,D,AAL
SK,SK348,D,2023-12-21T16:45:00Z,D,TRD
WF,WF195,D,2023-12-21T16:45:00Z,D,FDE
DY,DY764,D,2023-12-21T16:50:00Z,D,TRD
WF,WF038,D,2023-12-21T16:50:00Z,D,RRS
SK,SK488,S,2023-12-21T16:50:00Z,D,ARN
DY,DY366,D,2023-12-21T16:55:00Z,D,EVE
SN,SN2284,S,2023-12-21T17:00:00Z,D,BRU
DY,DY414,D,2023-12-21T17:00:00Z,D,AES
DY,DY1108,S,2023-12-21T17:00:00Z,D,BER
TK,TK1754,I,2023-12-21T17:05:00Z,D,IST
SK,SK461,S,2023-12-21T17:05:00Z,D,CPH
DX,DX568,D,2023-12-21T17:10:00Z,D,OLA
DY,DY544,D,2023-12-21T17:10:00Z,D,SVG
DY,DY628,D,2023-12-21T17:25:00Z,D,BGO
LH,LH867,S,2023-12-21T17:30:00Z,D,FRA
LH,LH2455,S,2023-12-21T17:45:00Z,D,MUC
D8,D83233,S,2023-12-21T17:45:00Z,D,CPH
DY,DY1310,I,2023-12-21T17:45:00Z,D,LGW
ET,ET715,I,2023-12-21T17:45:00Z,D,ADD
KL,KL1150,S,2023-12-21T17:55:00Z,D,AMS
SK,SK1477,S,2023-12-21T17:55:00Z,D,CPH
DY,DY1042,S,2023-12-21T17:55:00Z,D,KRK
D8,D84120,S,2023-12-21T18:00:00Z,D,ARN
DY,DY768,D,2023-12-21T18:00:00Z,D,TRD
DY,DY632,D,2023-12-21T18:00:00Z,D,BGO
TP,TP765,S,2023-12-21T18:05:00Z,D,LIS
DY,DY546,D,2023-12-21T18:10:00Z,D,SVG
SK,SK4049,D,2023-12-21T18:15:00Z,D,SVG
SK,SK4723,S,2023-12-21T18:15:00Z,D,BER
DY,DY8430,S,2023-12-21T18:25:00Z,D,VNO
SK,SK370,D,2023-12-21T18:30:00Z,D,TRD
WF,WF177,D,2023-12-21T18:35:00Z,D,HOV
DY,DY436,D,2023-12-21T18:45:00Z,D,MOL
D8,D85325,S,2023-12-21T18:45:00Z,D,ALC
DY,DY196,D,2023-12-21T18:45:00Z,D,HAU
LO,LO484,S,2023-12-21T18:50:00Z,D,WAW
BT,BT154,S,2023-12-21T18:50:00Z,D,RIX
DY,DY278,D,2023-12-21T18:50:00Z,D,KRS
DY,DY356,D,2023-12-21T18:50:00Z,D,BOO
DY,DY382,D,2023-12-21T18:55:00Z,D,TOS
SK,SK4124,D,2023-12-21T18:55:00Z,D,BOO
SK,SK223,D,2023-12-21T19:00:00Z,D,KRS
SK,SK1330,D,2023-12-21T19:00:00Z,D,AES
SK,SK4432,D,2023-12-21T19:05:00Z,D,TOS
SK,SK320,D,2023-12-21T19:10:00Z,D,HAU
SK,SK815,I,2023-12-21T19:10:00Z,D,LHR
D8,D84122,S,2023-12-21T19:15:00Z,D,ARN
DY,DY368,D,2023-12-21T19:15:00Z,D,EVE
WF,WF078,D,2023-12-21T19:15:00Z,D,TRD
TO,TO7411,S,2023-12-21T19:15:00Z,D,ORY
SK,SK4098,D,2023-12-21T19:25:00Z,D,EVE
SK,SK380,D,2023-12-21T19:30:00Z,D,TRD
WF,WF157,D,2023-12-21T19:30:00Z,D,SDN
SK,SK291,D,2023-12-21T19:30:00Z,D,BGO
SK,SK4055,D,2023-12-21T19:30:00Z,D,SVG
SK,SK2309,D,2023-12-21T19:30:00Z,D,KSU
DY,DY770,D,2023-12-21T19:40:00Z,D,TRD
DX,DX576,D,2023-12-21T19:45:00Z,D,FRO
AY,AY918,S,2023-12-21T19:50:00Z,D,HEL
DY,DY418,D,2023-12-21T19:55:00Z,D,AES
DY,DY550,D,2023-12-21T19:55:00Z,D,SVG
DY,DY638,D,2023-12-21T20:05:00Z,D,BGO
SK,SK1488,S,2023-12-21T20:15:00Z,D,ARN
W6,W65034,S,2023-12-21T20:45:00Z,D,KRK
DY,DY776,D,2023-12-21T21:00:00Z,D,TRD
